Attack Surface Source,Attack Surface Target,Attack Vector,Database,ID,Related CWE,Related CAPEC,Related CVE,Contents
GPS,NMEA GPS,CVE-2003-0362,CVE,2003-0362,N/A,['N/A'],['N/A'],Buffer overflow in gPS before 0.10.2 may allow local users to cause a denial of service (SIGSEGV) in rgpsp via long command lines.
GPS,NMEA GPS,CVE-2012-6336,CVE,2012-6336,N/A,['N/A'],['N/A'],"The Missing Device feature in Lookout allows physically proximate attackers to provide arbitrary location data via a ""commonly available simple GPS location spoofer."""
GPS,NMEA GPS,CVE-2007-0554,CVE,2007-0554,N/A,['N/A'],['N/A'],SQL injection vulnerability in print.asp in Guo Xu Guos Posting System (GPS) 1.2 allows remote attackers to execute arbitrary SQL commands via the id parameter.
GPS,NMEA GPS,CVE-2012-6335,CVE,2012-6335,N/A,['N/A'],['N/A'],"The Anti-theft service in AVG AntiVirus for Android allows physically proximate attackers to provide arbitrary location data via a ""commonly available simple GPS location spoofer."""
GPS,NMEA GPS,CVE-2003-0361,CVE,2003-0361,N/A,['N/A'],['N/A'],"gPS before 1.1.0 does not properly follow the rgpsp connection source acceptation policy as specified in the rgpsp.conf file, which could allow unauthorized remote attackers to connect to rgpsp."
GPS,NMEA GPS,CVE-2017-14918,CVE,2017-14918,CWE-416,['N/A'],['N/A'],"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in the GPS location wireless interface, a Use After Free condition can occur."
GPS,NMEA GPS,CVE-2017-5237,CVE,2017-5237,CWE-287,['N/A'],['N/A'],"Due to a lack of authentication, an unauthenticated user who knows the Eview EV-07S GPS Tracker's phone number can revert the device to a factory default configuration with an SMS command, ""RESET!"""
GPS,NMEA GPS,CVE-2017-5238,CVE,2017-5238,CWE-119,['N/A'],['N/A'],"Due to a lack of bounds checking, several input configuration fields for the Eview EV-07S GPS Tracker will overflow data stored in one variable to another, overwriting the data of another field."
GPS,NMEA GPS,CVE-2012-1288,CVE,2012-1288,CWE-255,['N/A'],['N/A'],"The UTC Fire & Security GE-MC100-NTP/GPS-ZB Master Clock device uses hardcoded credentials for an administrative account, which makes it easier for remote attackers to obtain access via an HTTP session."
GPS,NMEA GPS,CVE-2014-5968,CVE,2014-5968,CWE-310,['N/A'],['N/A'],"The iGolf - Golf GPS (aka com.igolf) application 20 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate."
GPS,NMEA GPS,CVE-2016-3801,CVE,2016-3801,CWE-264,['N/A'],['N/A'],"The MediaTek GPS driver in Android before 2016-07-05 on Android One devices allows attackers to gain privileges via a crafted application, aka Android internal bug 28174914 and MediaTek internal bug ALPS02688853."
GPS,NMEA GPS,CVE-2014-5982,CVE,2014-5982,CWE-310,['N/A'],['N/A'],"The RunKeeper - GPS Track Run Walk (aka com.fitnesskeeper.runkeeper.pro) application 4.7 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate."
GPS,NMEA GPS,CVE-2004-1388,CVE,2004-1388,N/A,['N/A'],['N/A'],"Format string vulnerability in the gpsd_report function for BerliOS GPD daemon (gpsd, formerly pygps) 1.9.0 through 2.7 allows remote attackers to execute arbitrary code via certain GPS requests containing format string specifiers that are not properly handled in syslog calls."
GPS,NMEA GPS,CVE-2009-2204,CVE,2009-2204,N/A,['N/A'],['N/A'],"Unspecified vulnerability in the CoreTelephony component in Apple iPhone OS before 3.0.1 allows remote attackers to execute arbitrary code, obtain GPS coordinates, or enable the microphone via an SMS message that triggers memory corruption, as demonstrated by Charlie Miller at SyScan '09 Singapore."
GPS,NMEA GPS,CVE-2012-6334,CVE,2012-6334,CWE-264,['N/A'],['N/A'],"The Track My Mobile feature in the SamsungDive subsystem for Android on Samsung Galaxy devices does not properly implement Location APIs, which allows physically proximate attackers to provide arbitrary location data via a ""commonly available simple GPS location spoofer."""
GPS,NMEA GPS,Terrestrial Jamming,CAPEC,599,['N/A'],['195'],['N/A'],"In this attack pattern, the adversary transmits disruptive signals in the direction of the target consumer-level satellite dish (as opposed to the satellite itself). The transmission disruption occurs in a more targeted range. Portable terrestrial jammers have a range of 3-5 kilometers in urban areas and 20 kilometers in rural areas. This technique requires a terrestrial jammer that is more powerful than the frequencies sent from the satellite. High Low An attempt to deceive a GPS receiver by broadcasting counterfeit GPS signals, structured to resemble a set of normal GPS signals. These jamming signals may be structured in such a way as to cause the receiver to estimate its position to be somewhere other than where it actually is, or to be located where it is but at a different time, as determined by the adversary. A terrestrial satellite jammer with a signal more powerful than that of the satellite attempting to communicate with the target. The adversary must know the location of the target satellite dish. Availability Other A successful attack will deny, degrade, or disrupt availability of satellite communications for the target by overwhelming its resources to accurately receive authorized transmissions. 1000 Attack Pattern ChildOf 195 Small Media Satellite Jamming in Iran: A War over Airwaves November 2012"
GPS,NMEA GPS,CVE-2009-0194,CVE,2009-0194,CWE-264,['N/A'],['N/A'],"The domain-locking implementation in the GARMINAXCONTROL.GarminAxControl_t.1 ActiveX control in npGarmin.dll in the Garmin Communicator Plug-In 2.6.4.0 does not properly enforce the restrictions that (1) download and (2) upload requests come from a web site specified by the user, which allows remote attackers to obtain sensitive information or reconfigure Garmin GPS devices via unspecified vectors related to a ""synchronisation error."""
GPS,NMEA GPS,CVE-2013-2038,CVE,2013-2038,CWE-20,['N/A'],['N/A'],"The NMEA0183 driver in gpsd before 3.9 allows remote attackers to cause a denial of service (daemon termination) and possibly execute arbitrary code via a GPS packet with a malformed $GPGGA interpreted sentence that lacks certain fields and a terminator.  NOTE: a separate issue in the AIS driver was also reported, but it might not be a vulnerability."
GPS,NMEA GPS,CVE-2016-10135,CVE,2016-10135,CWE-200,['N/A'],['N/A'],"An issue was discovered on LG devices using the MTK chipset with L(5.0/5.1), M(6.0/6.0.1), and N(7.0) software, and RCA Voyager Tablet, BLU Advance 5.0, and BLU R1 HD devices. The MTKLogger app with a package name of com.mediatek.mtklogger has application components that are accessible to any application that resides on the device. Namely, the com.mediatek.mtklogger.framework.LogReceiver and com.mediatek.mtklogger.framework.MTKLoggerService application components are exported since they contain an intent filter, are not protected by a custom permission, and do not explicitly set the android:exported attribute to false. Therefore, these components are exported by default and are thus accessible to any third party application by using android.content.Intent object for communication. These application components can be used to start and stop the logs using Intent objects with embedded data. The available logs are the GPS log, modem log, network log, and mobile log. The base directory that contains the directories for the 4 types of logs is /sdcard/mtklog which makes them accessible to apps that require the READ_EXTERNAL_STORAGE permission. The GPS log contains the GPS coordinates of the user as well as a timestamp for the coordinates. The modem log contains AT commands and their parameters which allow the user's outgoing and incoming calls and text messages to be obtained. The network log is a tcpdump network capture. The mobile log contains the Android log, which is not available to third-party apps as of Android 4.1. The LG ID is LVE-SMP-160019."
GPS,NMEA GPS,CVE-2016-5348,CVE,2016-5348,CWE-399,['N/A'],['N/A'],"The GPS component in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, 6.x before 2016-10-01, and 7.0 before 2016-10-01 allows man-in-the-middle attackers to cause a denial of service (memory consumption, and device hang or reboot) via a large xtra.bin or xtra2.bin file on a spoofed Qualcomm gpsonextra.net or izatcloud.net host, aka internal bug 29555864."
GPS,NMEA GPS,Improper Restriction of Power Consumption,CWE,920,"['400', '400']",['N/A'],['N/A'],"The software operates in an environment in which power is a limited resource that cannot be automatically replenished, but the software does not properly restrict the amount of power that its operation consumes. In environments such as embedded or mobile devices, power can be a limited resource such as a battery, which cannot be automatically replenished by the software itself, and the device might not always be directly attached to a reliable power source. If the software uses too much power too quickly, then this could cause the device (and subsequently, the software) to stop functioning until power is restored, or increase the financial burden on the device owner because of increased power costs. Normal operation of an application will consume power. However, in some cases, an attacker could cause the application to consume more power than intended, using components such as: Display CPU Disk I/O GPS Sound Microphone USB interface Architecture and Design Availability DoS: Resource Consumption (Other) DoS: Crash, Exit, or Restart The power source could be drained, causing the application - and the entire device - to cease functioning."
ZigBee,FCS Radio Module,CVE-2016-5054,CVE,2016-5054,CWE-284,['N/A'],['N/A'],OSRAM SYLVANIA Osram Lightify Home through 2016-07-26 allows Zigbee replay.
ZigBee,FCS Radio Module,CVE-2016-5058,CVE,2016-5058,CWE-284,['N/A'],['N/A'],OSRAM SYLVANIA Osram Lightify Pro through 2016-07-26 allows Zigbee replay.
ZigBee,FCS Radio Module,CVE-2016-2398,CVE,2016-2398,CWE-254,['N/A'],['N/A'],"Comcast XFINITY Home Security System does not properly maintain base-station communication, which allows physically proximate attackers to defeat sensor functionality by interfering with ZigBee 2.4 GHz transmissions."
ZigBee,FCS Radio Module,CVE-2010-4301,CVE,2010-4301,CWE-399,['N/A'],['N/A'],"epan/dissectors/packet-zbee-zcl.c in the ZigBee ZCL dissector in Wireshark 1.4.0 through 1.4.1 allows remote attackers to cause a denial of service (infinite loop) via a crafted ZCL packet, related to Discover Attributes."
ZigBee,FCS Radio Module,CVE-2015-6244,CVE,2015-6244,CWE-20,['N/A'],['N/A'],"The dissect_zbee_secure function in epan/dissectors/packet-zbee-security.c in the ZigBee dissector in Wireshark 1.12.x before 1.12.7 improperly relies on length fields contained in packet data, which allows remote attackers to cause a denial of service (application crash) via a crafted packet."
ZigBee,FCS Radio Module,CVE-2015-8732,CVE,2015-8732,CWE-20,['N/A'],['N/A'],"The dissect_zcl_pwr_prof_pwrprofstatersp function in epan/dissectors/packet-zbee-zcl-general.c in the ZigBee ZCL dissector in Wireshark 1.12.x before 1.12.9 and 2.0.x before 2.0.1 does not validate the Total Profile Number field, which allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted packet."
ZigBee,GCS Radio Module,CVE-2016-5054,CVE,2016-5054,CWE-284,['N/A'],['N/A'],OSRAM SYLVANIA Osram Lightify Home through 2016-07-26 allows Zigbee replay.
ZigBee,GCS Radio Module,CVE-2016-5058,CVE,2016-5058,CWE-284,['N/A'],['N/A'],OSRAM SYLVANIA Osram Lightify Pro through 2016-07-26 allows Zigbee replay.
ZigBee,GCS Radio Module,CVE-2016-2398,CVE,2016-2398,CWE-254,['N/A'],['N/A'],"Comcast XFINITY Home Security System does not properly maintain base-station communication, which allows physically proximate attackers to defeat sensor functionality by interfering with ZigBee 2.4 GHz transmissions."
ZigBee,GCS Radio Module,CVE-2010-4301,CVE,2010-4301,CWE-399,['N/A'],['N/A'],"epan/dissectors/packet-zbee-zcl.c in the ZigBee ZCL dissector in Wireshark 1.4.0 through 1.4.1 allows remote attackers to cause a denial of service (infinite loop) via a crafted ZCL packet, related to Discover Attributes."
ZigBee,GCS Radio Module,CVE-2015-6244,CVE,2015-6244,CWE-20,['N/A'],['N/A'],"The dissect_zbee_secure function in epan/dissectors/packet-zbee-security.c in the ZigBee dissector in Wireshark 1.12.x before 1.12.7 improperly relies on length fields contained in packet data, which allows remote attackers to cause a denial of service (application crash) via a crafted packet."
ZigBee,GCS Radio Module,CVE-2015-8732,CVE,2015-8732,CWE-20,['N/A'],['N/A'],"The dissect_zcl_pwr_prof_pwrprofstatersp function in epan/dissectors/packet-zbee-zcl-general.c in the ZigBee ZCL dissector in Wireshark 1.12.x before 1.12.9 and 2.0.x before 2.0.1 does not validate the Total Profile Number field, which allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted packet."
ZigBee,Imagery Radio Module,CVE-2016-5054,CVE,2016-5054,CWE-284,['N/A'],['N/A'],OSRAM SYLVANIA Osram Lightify Home through 2016-07-26 allows Zigbee replay.
ZigBee,Imagery Radio Module,CVE-2016-5058,CVE,2016-5058,CWE-284,['N/A'],['N/A'],OSRAM SYLVANIA Osram Lightify Pro through 2016-07-26 allows Zigbee replay.
ZigBee,Imagery Radio Module,CVE-2016-2398,CVE,2016-2398,CWE-254,['N/A'],['N/A'],"Comcast XFINITY Home Security System does not properly maintain base-station communication, which allows physically proximate attackers to defeat sensor functionality by interfering with ZigBee 2.4 GHz transmissions."
ZigBee,Imagery Radio Module,CVE-2010-4301,CVE,2010-4301,CWE-399,['N/A'],['N/A'],"epan/dissectors/packet-zbee-zcl.c in the ZigBee ZCL dissector in Wireshark 1.4.0 through 1.4.1 allows remote attackers to cause a denial of service (infinite loop) via a crafted ZCL packet, related to Discover Attributes."
ZigBee,Imagery Radio Module,CVE-2015-6244,CVE,2015-6244,CWE-20,['N/A'],['N/A'],"The dissect_zbee_secure function in epan/dissectors/packet-zbee-security.c in the ZigBee dissector in Wireshark 1.12.x before 1.12.7 improperly relies on length fields contained in packet data, which allows remote attackers to cause a denial of service (application crash) via a crafted packet."
ZigBee,Imagery Radio Module,CVE-2015-8732,CVE,2015-8732,CWE-20,['N/A'],['N/A'],"The dissect_zcl_pwr_prof_pwrprofstatersp function in epan/dissectors/packet-zbee-zcl-general.c in the ZigBee ZCL dissector in Wireshark 1.12.x before 1.12.9 and 2.0.x before 2.0.1 does not validate the Total Profile Number field, which allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted packet."
Wi-Fi,Laptop,CVE-2018-6023,CVE,2018-6023,N/A,['N/A'],['N/A'],"Fastweb FASTgate 0.00.47 devices are vulnerable to CSRF, with impacts including Wi-Fi password changing, Guest Wi-Fi activating, etc."
Wi-Fi,Laptop,Evil Twin Wi-Fi Attack,CAPEC,615,['N/A'],['616'],['N/A'],"Adversaries install Wi-Fi equipment that acts as a legitimate Wi-Fi network access point. When a device connects to this access point, Wi-Fi data traffic is intercepted, captured, and analyzed. This also allows the adversary to act as a “man-in-the-middle” for all communications. None Low Commercial defensive technology that monitors for rogue Wi-Fi access points, man-in-the-middle attacks, and anomalous activity with the mobile device baseband radios. Read application data Intercept and control Wi-Fi data communications to/from mobile device. 1000 Attack Pattern ChildOf 616 Mobile"
Wi-Fi,Laptop,CVE-2013-2310,CVE,2013-2310,CWE-287,['N/A'],['N/A'],"SoftBank Wi-Fi Spot Configuration Software, as used on SoftBank SHARP 3G handsets, SoftBank Panasonic 3G handsets, SoftBank NEC 3G handsets, SoftBank Samsung 3G handsets, SoftBank mobile Wi-Fi routers, SoftBank Android smartphones with the Wi-Fi application before 1.7.1, SoftBank Windows Mobile smartphones with the WISPrClient application before 1.3.1, SoftBank Disney Mobile Android smartphones with the Wi-Fi application before 1.7.1, and WILLCOM Android smartphones with the Wi-Fi application before 1.7.1, does not properly connect to access points, which allows remote attackers to obtain sensitive information by leveraging access to an 802.11 network."
Wi-Fi,Laptop,CVE-2008-1269,CVE,2008-1269,CWE-287,['N/A'],['N/A'],"cp06_wifi_m_nocifr.cgi in the admin panel on the Alice Gate 2 Plus Wi-Fi router does not verify authentication credentials, which allows remote attackers to disable Wi-Fi encryption via a certain request."
Wi-Fi,Laptop,CVE-2017-11120,CVE,2017-11120,CWE-119,['N/A'],['N/A'],"On Broadcom BCM4355C0 Wi-Fi chips 9.44.78.27.0.1.56 and other chips, an attacker can craft a malformed RRM neighbor report frame to trigger an internal buffer overflow in the Wi-Fi firmware, aka B-V2017061204."
Wi-Fi,Laptop,CVE-2017-0561,CVE,2017-0561,CWE-264,['N/A'],['N/A'],"A remote code execution vulnerability in the Broadcom Wi-Fi firmware could enable a remote attacker to execute arbitrary code within the context of the Wi-Fi SoC. This issue is rated as Critical due to the possibility of remote code execution in the context of the Wi-Fi SoC. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-34199105. References: B-RB#110814."
Wi-Fi,Laptop,CVE-2011-3452,CVE,2011-3452,CWE-200,['N/A'],['N/A'],"Internet Sharing in Apple Mac OS X before 10.7.3 does not preserve the Wi-Fi configuration across software updates, which allows remote attackers to obtain sensitive information by leveraging the lack of a WEP password for a Wi-Fi network."
Wi-Fi,Laptop,CVE-2008-7165,CVE,2008-7165,CWE-352,['N/A'],['N/A'],Cross-site request forgery in cp06_wifi_m_nocifr.cgi in the administrator panel in TELECOM ITALIA Alice Gate2 Plus Wi-Fi allows remote attackers to hijack the authentication of administrators for requests that disable Wi-Fi encryption via certain values for the wlChannel and wlRadioEnable parameters.
Wi-Fi,Laptop,CVE-2010-4648,CVE,2010-4648,N/A,['N/A'],['N/A'],"The orinoco_ioctl_set_auth function in drivers/net/wireless/orinoco/wext.c in the Linux kernel before 2.6.37 does not properly implement a TKIP protection mechanism, which makes it easier for remote attackers to obtain access to a Wi-Fi network by reading Wi-Fi frames."
Wi-Fi,Laptop,CVE-2017-11121,CVE,2017-11121,CWE-119,['N/A'],['N/A'],"On Broadcom BCM4355C0 Wi-Fi chips 9.44.78.27.0.1.56 and other chips, properly crafted malicious over-the-air Fast Transition frames can potentially trigger internal Wi-Fi firmware heap and/or stack overflows, leading to denial of service or other effects, aka B-V2017061205."
Wi-Fi,Laptop,CVE-2017-7066,CVE,2017-7066,CWE-119,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 10.3.3 is affected. tvOS before 10.2.2 is affected. The issue involves the ""Wi-Fi"" component. It allows attackers to cause a denial of service (memory corruption on the Wi-Fi chip) by leveraging proximity for 802.11."
Wi-Fi,Laptop,CVE-2011-0162,CVE,2011-0162,CWE-20,['N/A'],['N/A'],"Wi-Fi in Apple iOS before 4.3 and Apple TV before 4.2 does not properly perform bounds checking for Wi-Fi frames, which allows remote attackers to cause a denial of service (device reset) via unspecified traffic on the local wireless network."
Wi-Fi,Laptop,CVE-2016-2457,CVE,2016-2457,CWE-264,['N/A'],['N/A'],"server/pm/UserManagerService.java in Wi-Fi in Android 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-05-01 allows attackers to bypass intended restrictions on Wi-Fi configuration changes by leveraging guest access, aka internal bug 27411179."
Wi-Fi,Laptop,CVE-2017-7116,CVE,2017-7116,CWE-200,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 11 is affected. tvOS before 11 is affected. watchOS before 4 is affected. The issue involves the ""Wi-Fi"" component. It might allow remote attackers to read data from kernel memory locations via crafted Wi-Fi traffic."
Wi-Fi,Laptop,CVE-2012-3725,CVE,2012-3725,CWE-200,['N/A'],['N/A'],"The DNAv4 protocol implementation in the DHCP component in Apple iOS before 6 sends Wi-Fi packets containing a MAC address of a host on a previously used network, which might allow remote attackers to obtain sensitive information about previous device locations by sniffing an unencrypted Wi-Fi network for these packets."
Wi-Fi,Laptop,CVE-2011-5053,CVE,2011-5053,CWE-287,['N/A'],['N/A'],"The Wi-Fi Protected Setup (WPS) protocol, when the ""external registrar"" authentication method is used, does not properly inform clients about failed PIN authentication, which makes it easier for remote attackers to discover the PIN value, and consequently discover the Wi-Fi network password or reconfigure an access point, by reading EAP-NACK messages."
Wi-Fi,Laptop,CVE-2012-2619,CVE,2012-2619,CWE-20,['N/A'],['N/A'],"The Broadcom BCM4325 and BCM4329 Wi-Fi chips, as used in certain Acer, Apple, Asus, Ford, HTC, Kyocera, LG, Malata, Motorola, Nokia, Pantech, Samsung, and Sony products, allow remote attackers to cause a denial of service (out-of-bounds read and Wi-Fi outage) via an RSN 802.11i information element."
Wi-Fi,Laptop,CVE-2016-10292,CVE,2016-10292,CWE-399,['N/A'],['N/A'],"A denial of service vulnerability in the Qualcomm Wi-Fi driver could enable a proximate attacker to cause a denial of service in the Wi-Fi subsystem. This issue is rated as High due to the possibility of remote denial of service. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-34514463. References: QC-CR#1065466."
Wi-Fi,Laptop,CVE-2017-7065,CVE,2017-7065,CWE-119,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 10.3.3 is affected. macOS before 10.12.6 is affected. tvOS before 10.2.2 is affected. The issue involves the ""Wi-Fi"" component. It allows remote attackers to execute arbitrary code (on the Wi-Fi chip) or cause a denial of service (memory corruption) by leveraging proximity for 802.11."
Wi-Fi,Laptop,CVE-2017-7103,CVE,2017-7103,CWE-119,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 11 is affected. tvOS before 11 is affected. watchOS before 4 is affected. The issue involves the ""Wi-Fi"" component. It might allow remote attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via crafted Wi-Fi traffic."
Wi-Fi,Laptop,CVE-2017-7105,CVE,2017-7105,CWE-119,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 11 is affected. tvOS before 11 is affected. watchOS before 4 is affected. The issue involves the ""Wi-Fi"" component. It might allow remote attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via crafted Wi-Fi traffic."
Wi-Fi,Laptop,CVE-2017-7108,CVE,2017-7108,CWE-119,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 11 is affected. tvOS before 11 is affected. watchOS before 4 is affected. The issue involves the ""Wi-Fi"" component. It might allow remote attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via crafted Wi-Fi traffic."
Wi-Fi,Laptop,CVE-2017-7110,CVE,2017-7110,CWE-119,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 11 is affected. tvOS before 11 is affected. watchOS before 4 is affected. The issue involves the ""Wi-Fi"" component. It might allow remote attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via crafted Wi-Fi traffic."
Wi-Fi,Laptop,CVE-2017-7112,CVE,2017-7112,CWE-119,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 11 is affected. tvOS before 11 is affected. watchOS before 4 is affected. The issue involves the ""Wi-Fi"" component. It might allow remote attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via crafted Wi-Fi traffic."
Wi-Fi,Laptop,CVE-2017-7115,CVE,2017-7115,CWE-362,['N/A'],['N/A'],"An issue was discovered in certain Apple products. iOS before 11 is affected. tvOS before 11 is affected. The issue involves the ""Wi-Fi"" component. It might allow remote attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via crafted Wi-Fi traffic that leverages a race condition."
Wi-Fi,Laptop,CVE-2016-2422,CVE,2016-2422,CWE-264,['N/A'],['N/A'],"Wi-Fi in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-04-01 does not prevent use of a Wi-Fi CA certificate in an unrelated CA role, which allows attackers to gain privileges via a crafted application, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 26324357."
Wi-Fi,Laptop,CVE-2018-11478,CVE,2018-11478,N/A,['N/A'],['N/A'],"An issue was discovered on Vgate iCar 2 Wi-Fi OBD2 Dongle devices. The OBD port is used to receive measurement data and debug information from the car. This on-board diagnostics feature can also be used to send commands to the car (different for every vendor / car product line / car). No authentication is needed, which allows attacks from the local Wi-Fi network."
Wi-Fi,Laptop,CVE-2017-0786,CVE,2017-0786,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-37351060. References: B-V2017060101.
Wi-Fi,Laptop,CVE-2017-0787,CVE,2017-0787,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-37722970. References: B-V2017053104.
Wi-Fi,Laptop,CVE-2017-0788,CVE,2017-0788,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-37722328. References: B-V2017053103.
Wi-Fi,Laptop,CVE-2017-0789,CVE,2017-0789,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-37685267. References: B-V2017053102.
Wi-Fi,Laptop,CVE-2017-0790,CVE,2017-0790,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-37357704. References: B-V2017053101.
Wi-Fi,Laptop,CVE-2017-0791,CVE,2017-0791,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-37306719. References: B-V2017052302.
